,u_windows,g_value,wwr,fixedShadingDepth,heatingSum,heatingMax,lightingSum,temperature>28C
292,0.75,0.8,0.6,1.25,704846717.8440022,3837.7445601962263,512516512.942754,2670
293,0.75,0.8,0.6,1.5,737386776.1456817,2877.45713052959,512587350.0663096,2492
294,1.0,0.2,0.4,0.01,2147513768.7110186,2260.417224028112,512816875.5483425,1081
295,1.0,0.2,0.4,0.25,2150426035.8985286,2259.1490295545445,512818105.53559875,1070
296,1.0,0.2,0.4,0.5,2176438058.754868,2256.314160438603,512786385.4166169,1048
297,1.0,0.2,0.4,0.75,2205883002.540272,2253.116747132432,512768664.07224065,1021
298,1.0,0.2,0.4,1.0,2267614667.8671546,2250.1033184317766,512802623.370838,982
299,1.0,0.2,0.4,1.25,2351650269.057497,2248.530965813716,512824173.4084343,953
300,1.0,0.2,0.4,1.5,2457705261.131564,2248.2885096751306,512878094.6994448,925
301,1.0,0.2,0.5,0.01,2050403130.5057333,2329.566198590782,512328041.16034585,1133
302,1.0,0.2,0.5,0.25,2048815235.599929,2328.211908314189,512304109.0483608,1128
